Review-Text,Review-Date,Star-Rating,Web-Site
I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.,"Dec 11, 2019",4,cardekho.com
"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed.","Dec 11, 2019",4,cardekho.com
"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a masculine look which is attracting most of the young people. Multiple variants and both manual and auto transmission options make it a top seller. The only area where it needs to ...Read More","Dec 11, 2019",4,cardekho.com
"It's a good looking car, nice performance, comfort level is good and luxurious. The interior is very attractive and of good quality.","Dec 11, 2019",4,cardekho.com
"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I have been driving Seltos HTX Diesel for 1000 km now and the car never ceases to surprise. More airbags could have helped and the rear seat could have been a bit longer for support...Read More","Dec 11, 2019",4,cardekho.com
"Very good car in budget with the best performance, low maintenance and undoubtedly controlling is also very well.","Dec 11, 2019",5,cardekho.com
"A very good car, in this price tag they gave all premium interiors but the only thing petrol DCT transmission heats up.","Dec 11, 2019",4,cardekho.com
These new entrants are not as per the safety norms. Only features and comprising on safety. People in India are not looking at safety ratings while purchasing a car like playing with life. This is well understood by these vehicle manufacturers and hence they are putting only features. I think safety should be first. Read More,"Dec 11, 2019",2,cardekho.com
"If we talk about the overall ratings of Seltos, no one can give a proper review. When I started the engine, the sound was so negligible that I cannot tell you the silence in the cabin. The power to thrust ratio is well explained in this Car. Even if you scale at 3rd gear. The engine seems to be smooth and amazing. I would suggest Seltos over The He...Read More","Dec 11, 2019",5,cardekho.com
"The car is great at handling and suspension is set good for the Indian roads. Good design in exterior as well as interior, The engine shows good aggressiveness in the real world. Offroad experience is good too because of the suspension and the projector headlights. The space that the car offers in the second row and in the boot is pretty good. The ...Read More","Dec 10, 2019",4,cardekho.com
"Excellent SUV with modern technology, style, performance, handling, comfort. Perfect vehicle by Kia. Impressed with the long list of features including Head's up display, Air purifier, 360 camera with the blind-spot camera. Kia plays a key role in the Indian market. Read More","Dec 10, 2019",5,cardekho.com
"Kia Seltos is providing all features in under 10 lakh price range. An awesome car as compared to other cars. Mostly, getting all the safety features in this car.","Dec 10, 2019",4,cardekho.com
Seltos is a big hit in India. Kia released their first car and got a massive hike. The horsepower and 1-liter turbo charge is just lit. It became the fourth largest car producing companies in India already. The screen in the car is just awesome and should've got panoramic sunroof competing for the MG Hector. The speed is pretty good. Read More,"Dec 10, 2019",5,cardekho.com
The best car in the segment and is quite affordable.,"Dec 10, 2019",4,cardekho.com
Great design and silent cabin with good ground clearance. Comfortable to drive for longer travel.,"Dec 10, 2019",4,cardekho.com
I had a test drive and the performance and comfort were good. The riding position should have been better.,"Dec 10, 2019",4,cardekho.com
This car is unbelievable due to its features and looks it has.,"Dec 10, 2019",5,cardekho.com
Best experience with new Kia. Fully loaded with Hi-Tech features. Enjoying the drive as this is the most amazing car ever.,"Dec 10, 2019",4,cardekho.com
A fabulous car which is very much extra-ordinary.,"Dec 10, 2019",3,cardekho.com
Really an amazing car and a very smooth car.,"Dec 10, 2019",5,cardekho.com
The Kia Seltos is a bit more expensive but offers a lot more for it in terms of safety and features. It is well worth the premium over the MG Hector,"Dec 10, 2019",5,cardekho.com
The most beautiful car than other companies currently in India. I don't know much about this company but this is the best car for everyone because this is a very powerful car and the model is very nice looking and indicators are comparing with Audi and the price is very suitable than other companies. Read More,"Dec 10, 2019",5,cardekho.com
The Kia Seltos is very excellent in looks. Its alloy wheel looks great and the front fog lamps and big headlights with DRLs looks are pretty much fascinating. This mid-size SUV is too good in this range. Kia Seltos is better than MG Hector and Hyundai Creta. Kia Seltos's front view is looking aggressive and side view of Seltos is just amazing. Read More,"Dec 10, 2019",5,cardekho.com
It looks very different as it has a sunroof and is a five-seater car. The boot space is also bigger than other cars.,"Dec 09, 2019",5,cardekho.com
"This is actually the best offering in the current price range. People have been cribbing about features, well then pay for it! You forget it's technically not an Indian company, so taxes are more! The range-topping GTX+ model which now also comes in both petrol and diesel comes with features that none of the vehicles in the current market offer. 6 ...Read More","Dec 09, 2019",5,cardekho.com
"Kia Seltos is the one in a class after much-awaiting finally release this car with all the most useful features. Kia Seltos the car with ease. The vehicle drives very smooth and you can get very attached and comfortable within its first 5 seconds of the drive. Interior is refreshing, the led wall is a gem. Smooth drive brings you comfort. Looks are...Read More","Dec 09, 2019",5,cardekho.com
"Kia Seltos is a very spacious car and the interiors are awesome. Very good ground clearance is very good. Seating capacity is 5, engine power is boosted. The pick up is very good. Mileage is ok. Read More","Dec 08, 2019",4,cardekho.com
"Best in the segment car and strongly suggest you take a good long hard look at the Kia Seltos. It's a compact SUV that looks super promising, offers a lot and from our first drive experience and felt the moment. Read More","Dec 09, 2019",5,cardekho.com
"Kia Seltos is a nice car and also getting good legroom, headroom and overall spacious car. Kia is one of the best companies which offers a passenger vehicle with all the best possible features. Read More","Dec 09, 2019",5,cardekho.com
Best in class and very cool engine and best breaking system good engine sound interior has very good finishing.,"Dec 09, 2019",4,cardekho.com
Looks are definitely the best. But it lacks good suspension. It's a little bit hard. It gives a very premium feel while I enter in it. Full of features.,"Dec 09, 2019",4,cardekho.com
"Very good car in terms of technology and ride experience, but if it was fuel electric it would have been much better.","Dec 08, 2019",5,cardekho.com
This car is really very good at having a very excellent performance. I love this car because of its awesome interior and very good features at very low rates.,"Dec 08, 2019",5,cardekho.com
Perfect car of the year loved all its features in this car. No car can beat the accessories the technology provided in this car.,"Dec 08, 2019",5,cardekho.com
I am a big fan of Kia. When I was in South Korea my brother bought a Kia optimum. When Kia launched its first car Seltos in India. I bought that. And I am very happy to buy this car. Its mileage is OMG! Very very good. The pickup is very good. It's very smooth. It looks very sharp. And it is as comfortable as a Jaguar. And successfully it is the to...Read More,"Dec 08, 2019",5,cardekho.com
"Excellent Features and at par with luxury cars like BMW and Benz etc. I was using Ford Ecosport which was much stronger than Kia Seltos. Transmission temperature increases and you are forced to stop in traffic. Except for the strength and heaviness of the car, looks-wise It is very elegant. Read More","Dec 08, 2019",4,cardekho.com
"Looking nice and has a good performance as well. One of the best SUV of the current time, autonomous and voice control are amazing.","Dec 08, 2019",5,cardekho.com
Excellent features are loaded like premium cars. The look is great and awesome Cost is very competitive in the SUV segment.,"Dec 08, 2019",5,cardekho.com
"This car is just amazing with a bunch of features and this is the best in-car segment, it is just amazing for youngsters.","Dec 08, 2019",4,cardekho.com
The interior and exterior are very nice and beautiful.,"Dec 08, 2019",5,cardekho.com
It's the best car in the price range and gives me the phenomenal performance that an SUV owner wants. It's my pleasure to have a Kia in my house. This car has an outstanding fuel economy compared to other car. The car comes with a good dynamic look and with outstanding features that will help you in your daily life. The car comes with a sunroof tha...Read More,"Dec 08, 2019",5,cardekho.com
Great features the car has. Amazing mileage and great performance.,"Dec 08, 2019",5,cardekho.com
