Review-Text,Review-Date,Star-Rating,Web-Site
"The Kia Seltos is one of the most eagerly anticipated launches for the year 2019. But before Kia Motors announces the price of the Seltos, we were invited to take the compact SUV for a spin around the streets of Goa. Read More","Dec 14, 2019",5,cardekho.com
The excellent new designs and the world's most beautiful car has already buzzed the market. ,"Dec 14, 2019",5,cardekho.com
Very nice car and very comfortable seats with powerful brakes. The interiors and its seating arrangement are also amazing. Available at affordable prices.,"Dec 14, 2019",4,cardekho.com
A very comfortable and smooth vehicle. The gear-box is very smooth.,"Dec 14, 2019",4,cardekho.com
Amazing car with ultimate colors.,"Dec 13, 2019",5,cardekho.com
Best of 2019 just because it has extra features and good looking interior and exterior design.,"Dec 13, 2019",5,cardekho.com
"Best in class, good infotainment system, smooth driving and feels like a premium one. For only who can afford it.","Dec 13, 2019",5,cardekho.com
"The Kia Seltos is good in every possible way, but there is a huge downside to the Seltos in case of pricing, where the vehicle is manufactured in Andhrapradesh the prices must be a bit low as all the other rival are priced very less in spite of manufacturing out of India. There is one thing Kia should implement which is it should provide the essent...Read More","Dec 13, 2019",3,cardekho.com
"Kia entered the Indian market with the SELTOS the one which shook the Hyundai CRETA and takes the first position in the compact SUV segment. It is offered with a 10.25-inch touchscreen display, KIA's UVO connects, air purifier, sunroof, and HUD(Heads Up Display). The car has three engine options all of them available either in manual or automatic t...Read More","Dec 13, 2019",5,cardekho.com
"Good experience while seating on driver seat. It is like, this is the car I was waiting for. It has a 4-star quality, being a middle-class 1 star less for price.","Dec 13, 2019",5,cardekho.com
The affordable SUV car is so comfortable and it has many functions. It has a sunroof as well. Also available at the cheapest rate as compared to the Venue.,"Dec 13, 2019",5,cardekho.com
I love the interior of this car This is perfect for the family and It is an affordable good looking car. The front-facing is superb.,"Dec 13, 2019",5,cardekho.com
"It's a nice car and really worth the price. It looks fantastic when it runs like a cheetah on the road. Talking about the safety of the car, absolutely safe car. Power and horsepower are really very powerful. Boot space is also very huge. Radio screen of 8 inches looks perfect and the speakers of BOSE give a clear voice and it has mood light also w...Read More","Dec 13, 2019",4,cardekho.com
"The car gets at the top speed in no time, it is a great car to get the money worth. The Seltos is amazingly featured as well.","Dec 13, 2019",5,cardekho.com
This car is very excellent in this price range because in this car there are more additional features.,"Dec 13, 2019",5,cardekho.com
Very Nice car and feels like luxurious looking XUV. Very comfortable and amazing features. ,"Dec 12, 2019",5,cardekho.com
SELTOS HAS GIVEN A BIG COMPETITION TO HYUNDAI CRETA IN THIS SEGMENT. THE KIA IS ABSOLUTELY THE KING.,"Dec 12, 2019",4,cardekho.com
"Such an Impeccable Machine with flawless drive, Indomitable power, eye-catching design, and Hushed Engine. Its a feeling of some luxury segment at very competitive pricing. Moreover Interior is just mind-blowing with such soothing acoustic sound. Pocket-friendly for all mileage concern buyers as it easily churns 18 km-22 km per liter depending on c...Read More","Dec 12, 2019",5,cardekho.com
"Wonderfull look this car has, interiors are mind-blowing. This car is fully loaded with multiple features.","Dec 12, 2019",5,cardekho.com
I had fun while test driving the demon. A good one with awesome driving excellence. Great build quality and control.,"Dec 12, 2019",5,cardekho.com
"This car is a very silent and very nice car. It has many new, useful features. Quite spacious as well.","Dec 12, 2019",5,cardekho.com
"A car that is built to conquer the mid-size SUV segment. With all the bells and whistles coming in terms of features and power(1.4 turbo petrol) combined with the variety to choose from, be it types of transmission options and varients and also color options, made to be unique for almost every masterpiece made making it an extreme value for money p...Read More","Dec 12, 2019",5,cardekho.com
"The Kia Seltos has a very different design, and very much comfortable. ","Dec 12, 2019",4,cardekho.com
Great performance with dashing looks.,"Dec 12, 2019",4,cardekho.com
"The car looks like SUV but not the real SUV. The petrol engine never makes any noise but here I can see unexpected things. IVT is lazy. Manual petrol and 1.4 is good. Diesel major looks difference from petrol even the grill and the bumper not matching with. Petrol 1.4 and diesel have all the disc brake, not the other petrol. Bose speaker is only av...Read More","Dec 12, 2019",3,cardekho.com
"Very excellent car, the look of the car is impressive and the ride and handling quality is awesome. The interior of the car is so classy, every look of car is so commendable. The color combinations of the car are too good. The alloy of car is mind-blowing and boot space is very much spacious. Read More","Dec 12, 2019",5,cardekho.com
Very good car with a fantastic front look and have a great boot space. Have sufficient leg space at the back.,"Dec 11, 2019",5,cardekho.com
"Fully feature-loaded SUV. Kia has done excellent work for Indian customers. 5-star for its look, features, and performance.","Dec 11, 2019",5,cardekho.com
"I'm driving the Kia Seltos HTK+ Diesel model. Overall the car is best. I have driven it 6500kms, but still no issue. Pick up is great. Mileage is around 21kms also best on bad roads. The car is best on curve road to have great grip. Infotainment is good. Some issues with Android Auto gets disconnected within1hr. But with a software update, it will ...Read More","Dec 11, 2019",5,cardekho.com
It's a pleasure to sit in the car and treats me like a king.,"Dec 11, 2019",5,cardekho.com
Smooth driving and luxurious car.,"Dec 11, 2019",5,cardekho.com
"Satisfying ride, comfortable seats, powerful beast. I tried other cars in the same price range but no one was comforting as this one.","Dec 11, 2019",4,cardekho.com
Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car drives smoothly and this car is best for buying. Read More,"Dec 11, 2019",5,cardekho.com
